// VilsSharpX CAN/UART trace – 2026-08-18 18:14:54
// Records: 7693
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
0;2026-08-18 15:14:04.078;OSRAM;W;0x0001;0x00000001;Ok;0;65535;80A520010001E5CB
1;2026-08-18 15:14:04.097;OSRAM;W;0x0001;0x00000001;Ok;0;12648;80A520010001E5CB
2;2026-08-18 15:14:04.097;OSRAM;W;0x0001;0x00000001;Ok;0;7566;80A520010001E5CB
3;2026-08-18 15:14:04.108;OSRAM;W;0x0001;0x00000001;Ok;0;8853;80A520010001E5CB
4;2026-08-18 15:14:04.118;OSRAM;W;0x0001;0x00000001;Ok;0;9967;80A520010001E5CB
5;2026-08-18 15:14:04.128;OSRAM;W;0x0001;0x00000001;Ok;0;9988;80A520010001E5CB
6;2026-08-18 15:14:04.137;OSRAM;W;0x0001;0x00000001;Ok;0;9965;80A520010001E5CB
7;2026-08-18 15:14:04.148;OSRAM;W;0x0001;0x00000001;Ok;0;10033;80A520010001E5CB
8;2026-08-18 15:14:04.808;OSRAM;W;0x0000;0x000060F5;Ok;0;65535;80A5200060F5764A
9;2026-08-18 15:14:04.808;OSRAM;W;0x00FC;0x0000CCFA;Ok;0;1137;80A520FCCCFA4985
10;2026-08-18 15:14:04.817;OSRAM;W;0x00FB;0x000000A2;Ok;0;1137;80A520FB00A244D1
11;2026-08-18 15:14:04.817;OSRAM;R;0x0000;0x000060F5;Ok;6;1137;80A5BE0060F5FFFF0002000003E8FFFF3510302000000000000000A50000FFFF0000003F150B
12;2026-08-18 15:14:04.817;OSRAM;R;0x00FB;0x000080A3;Ok;6;1144;80A5A0FB80A39250
13;2026-08-18 15:14:04.817;OSRAM;W;0x0006;0x00003510;Ok;0;5034;80A520063510982B
14;2026-08-18 15:14:04.819;OSRAM;R;0x0000;0x000060F5;Ok;6;1138;80A5BE0060F5FFFF0002000003E8FFFF3100302000000000000000A50000FFFF0000003FF39A
15;2026-08-18 15:14:04.828;OSRAM;W;0x0006;0x00003100;Ok;0;8558;80A52006310046DE
16;2026-08-18 15:14:04.828;OSRAM;W;0x0001;0x00000006;Ok;0;305;80A520010006952C
17;2026-08-18 15:14:04.828;OSRAM;R;0x0000;0x000060F5;Ok;6;311;80A5BE0060F5FFFF0006000003E8FFFF3100302100000000000000A50000FFFF0000003FB6E0
18;2026-08-18 15:14:04.828;OSRAM;R;0x002A;0x0000DCEC;Ok;6;315;80A5A22ADCECEFA91D55
19;2026-08-18 15:14:04.828;OSRAM;R;0x0043;0x00005C7F;Ok;6;313;80A5A0435C7F9FB5
20;2026-08-18 15:14:04.828;OSRAM;R;0x0047;0x0000067F;Ok;6;312;80A5A047067FA201
21;2026-08-18 15:14:04.838;OSRAM;W;0x0006;0x00003100;Ok;0;7976;80A52006310046DE
22;2026-08-18 15:14:04.838;OSRAM;W;0x0008;0x00000004;Ok;0;305;80A5220800046406E884
23;2026-08-18 15:14:04.838;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
24;2026-08-18 15:14:04.838;OSRAM;R;0x0100;0x00002300;Ok;6;303;80A5A5002300395CFF96A6FF
25;2026-08-18 15:14:04.838;OSRAM;W;0x0008;0x00000005;Ok;0;312;80A522080005000258DE
26;2026-08-18 15:14:04.838;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
27;2026-08-18 15:14:04.847;OSRAM;R;0x0100;0x00002110;Ok;6;305;80A5A10021104EB0
28;2026-08-18 15:14:04.847;OSRAM;W;0x0008;0x00000006;Ok;0;311;80A522080006000021CC
29;2026-08-18 15:14:04.847;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
30;2026-08-18 15:14:04.847;OSRAM;R;0x0100;0x00009EE0;Ok;6;304;80A5BF009EE0018E414200010000000100000001000000000000000000000000000000003581
31;2026-08-18 15:14:04.847;OSRAM;R;0x0110;0x00000000;Ok;6;312;80A5BF1000006900FF83FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8795
32;2026-08-18 15:14:04.847;OSRAM;R;0x0120;0x0000FFFF;Ok;6;313;80A5BF20FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF912E
33;2026-08-18 15:14:04.847;OSRAM;R;0x0000;0x000060F5;Ok;6;311;80A5BE0060F5FFFF0006000003E8FFFF3100302100060000000000A50000FFFF0000003F608B
34;2026-08-18 15:14:04.847;OSRAM;R;0x002A;0x0000DCEC;Ok;6;311;80A5A22ADCECEFA91D55
35;2026-08-18 15:14:04.847;OSRAM;R;0x0043;0x00005C7F;Ok;6;311;80A5A0435C7F9FB5
36;2026-08-18 15:14:04.847;OSRAM;R;0x0047;0x0000067F;Ok;6;311;80A5A047067FA201
37;2026-08-18 15:14:04.847;OSRAM;W;0x0006;0x00003100;Ok;0;3787;80A52006310046DE
38;2026-08-18 15:14:04.847;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0006000003E8FFFF3100302100060000000000A50000FFFF0000003F608B
39;2026-08-18 15:14:04.847;OSRAM;R;0x002A;0x0000DCEC;Ok;6;313;80A5A22ADCECEFA91D55
40;2026-08-18 15:14:04.847;OSRAM;R;0x0043;0x00005C7F;Ok;6;313;80A5A0435C7F9FB5
41;2026-08-18 15:14:04.849;OSRAM;R;0x0047;0x0000067F;Ok;6;313;80A5A047067FA201
42;2026-08-18 15:14:04.858;OSRAM;W;0x0006;0x00003100;Ok;0;8249;80A52006310046DE
43;2026-08-18 15:14:04.858;OSRAM;R;0x0000;0x000060F5;Ok;6;304;80A5BE0060F5FFFF0006000003E8FFFF3100302100060000000000A50000FFFF0000003F608B
44;2026-08-18 15:14:04.858;OSRAM;R;0x002A;0x0000DCEC;Ok;6;314;80A5A22ADCECEFA91D55
45;2026-08-18 15:14:04.858;OSRAM;R;0x0043;0x00005C7F;Ok;6;313;80A5A0435C7F9FB5
